ITEM_ID,ITEM_NAME
1,ピースライト
2,ピース
3,ホープ
4,マールボロ アイス ブラスと KS
5,マールボロ ゴールド オリジナル
6,マールボロ ブラック メンソール
7,マールボロ メンソール
8,マールボロ
9,ラッキーストライク
10,JPS
11,ウィンストン
12,クール FK
13,セブンスター
14,ハイライト メンソール
15,ハイライト
